Opportunity Name,SFDC URL,Account Name,Stage (Raw),Stage Bucket,ACV / Amount ($),Close Date,Created Date,Last Activity Date,Owner,Employees,Employee Bucket,EHR (Raw),EHR (Normalized),Providers (Opp Field),# Related Opps (Account),Opportunity ID,Account ID
Advanced Orthopaedics and Sports Medicine (OrthoLone Star),https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000VPRD0IAP/view,Advanced Orthopaedics and Sports Medicine,Closed Lost,Closed Lost / Nurture,72000.0,2026-01-30,2025-05-27,2025-10-09,Bethany Ayer,,Unknown,Athena,Athena,,5,006Vo00000VPRD0IAP,001Vo000001jT71IAE
Akumin,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000NmnsRIAR/view,Akumin (FKA Elite Imaging),Closed Lost,Closed Lost / Nurture,20250000.0,2025-10-07,2025-03-27,2025-06-30,John Clawges,,Unknown,eRAD,Other,,2,006Vo00000NmnsRIAR,0017V00001Wfx9VQAR
Akumin - Enterprise - Agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000s1PRvIAM/view,Akumin (FKA Elite Imaging),9. Lost/Nurture,Closed Lost / Nurture,,2028-01-01,2025-10-14,2025-11-10,Daniel Carter,,Unknown,eRAD,Other,,2,006Vo00000s1PRvIAM,0017V00001Wfx9VQAR
All About Kids Therapy Services- RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000ptyKnIAI/view,All About Kids Therapy Services (GA),Closed Lost,Closed Lost / Nurture,269960.15,2025-11-21,2025-10-01,2025-11-06,Amanda Jackson,,Unknown,Clinic Source,Other,,3,006Vo00000ptyKnIAI,0017V00001gAIzzQAG
All About Kids Therapy Services-RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Gds11IAB/view,All About Kids Therapy Services (GA),Closed Lost,Closed Lost / Nurture,249193.98,2025-03-31,2025-01-10,2025-10-01,Amanda Jackson,,Unknown,Clinic Source,Other,,3,006Vo00000Gds11IAB,0017V00001gAIzzQAG
Alliance Orthopedics,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000OnWU4IAN/view,Alliance Orthopedics,Closed Lost,Closed Lost / Nurture,4490227.47,2026-03-26,2025-04-04,2026-03-13,Ashley Coudron,8,0-300,CareCloud,Other,,1,006Vo00000OnWU4IAN,001Vo000004i7ByIAI
Anesis Spine - RCM + Scribe,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000b7bIWIAY/view,Anesis Spine & Pain Care,Closed Lost,Closed Lost / Nurture,472500.0,2026-02-16,2025-07-01,2025-09-30,Brad Kuh,,Unknown,Bizmatics a Harris Computer Company,Other,,1,006Vo00000b7bIWIAY,0015e00000d7GINAA2
Associated Physicians Group - Cosell,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000002itCXIAY/view,"Associated Physicians Group, PLC",Closed Lost,Closed Lost / Nurture,,2025-12-16,2024-02-28,,Ernest Chan,,Unknown,not sure,Other,17.0,2,006Vo000002itCXIAY,001Vo0000036xwYIAQ
Bare Dermatology,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000017q6XvIAI/view,Bare Dermatology,Closed Lost,Closed Lost / Nurture,72000.0,2026-02-25,2026-01-05,2026-02-02,Matthew Cordner,,Unknown,ModMed,Modernizing Medicine,7.0,2,006Vo000017q6XvIAI,0017V00002DJWkbQAH
Bethesda Medical Clinic,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000cfwmvIAA/view,Bethesda Medical Clinic,Closed Lost,Closed Lost / Nurture,128633.43,2026-01-31,2025-07-11,2025-09-13,Lisa Glidden,5,0-300,eClinicalWorks,eClinicalWorks,,5,006Vo00000cfwmvIAA,0015e00000d7KMSAA2
